	source	target	weight	origin	genes
0	Bacteroidaceae	Bacteroidaceae_driven	1.9942739986675238	GSEA_bacteria	Bacteroides 1;Bacteroides 2;Bacteroides 4;Bacteroides 17;Bacteroides 11;Bacteroides 16;Bacteroides 8;Bacteroides 3;Bacteroides 18;Bacteroides 34;Bacteroides 12;Bacteroides 6;Bacteroides 15;Bacteroides 31;Bacteroides 9;Bacteroides 7;Bacteroides 5;Bacteroides 20;Bacteroides 50;Bacteroides 13
1	Lachnospiraceae	Lachnospiraceae-driven	2.405306791598756	GSEA_bacteria	HM123979_g 1;Ruminococcus_g4 2;Murimonas 1;Blautia 2;Blautia 3;LLKB_g 2;Blautia 8;Roseburia 1;LLKB_g 1;Lachnospira 5;EF406589_g 1;Blautia 7;Eubacterium_g21 1;Blautia 6;Lachnospiraceae 7;Eisenbergiella 2;AY305316_g 2;Fusicatenibacter 1;Lachnospiraceae 2;Eubacterium_g7 1;Dorea 2;Murimonas 4;Lachnospiraceae 9;Lachnospira 2;Eisenbergiella 1;Lachnospiraceae 20;LLKB_g 4;Eubacterium_g17 1;Anaerostipes 1;Lachnospira 1;EU457907_g 1;DQ904798_g 1;Coprococcus 3;Eubacterium_g17 2;Lachnospira 3;Eubacterium_g5 1;Eubacterium_g5 3;Eubacterium_g4 2;Lachnospiraceae 3;Eubacterium_g5 2;Coprococcus_g2 1;LLKB_g 3;Anaerostipes 2;KE159538_g 2;HM123979_g 3;Ruminococcus_g4 1;KE159538_g 1;EU842423_g 2;Dorea 3;JPZU_g 1;Howardella 1;DQ057459_g 1;Murimonas 2;EU842486_g 1;AJ576336_g 1;Butyrivibrio_g1 2;Coprococcus_g1 1
2	Christensenellaceae	Ruminococcaceae_&_Christensenellaceae_driven_Low_BMI	2.2238385294021645	GSEA_bacteria	HQ716403_g 3;GU302849_g 1;HQ716403_g 1;FJ848448_g 1;AB239481_g 4;GQ422712_g 1;HM124244_g 1;GU302849_g 3;HQ716403_g 2;AB239481_g 10;AB239481_g 8;AB239481_g 1;AY442821_g 2;GU302849_g 4;HM124260_g 1;HM124260_g 2;AB239481_g 7;HM124260_g 4;AB239481_g 3;AB239481_g 6;HM124260_g 3
3	Ruminococcaceae	Ruminococcaceae_&_Christensenellaceae_driven_Low_BMI	1.7696177505083666	GSEA_bacteria	Pseudoflavonifractor 4;Oscillibacter 3;Oscillibacter 4;Sporobacter 4;GQ896819_g 1;Sporobacter 2;Oscillibacter 15;Oscillibacter 6;AB009176_g 1;Oscillibacter 2;Sporobacter 3;Sporobacter 8;JN713389_g 5;AB009176_g 19;Oscillibacter 1;Eubacterium_g23 8;Sporobacter 14;AB009176_g 2;AB009176_g 16;AB009176_g 22;Oscillibacter 5;AB009176_g 20;Sporobacter 7;AB009176_g 8;Oscillibacter 10;Eubacterium_g8 2;Sporobacter 20;EF404788_g 2;Eubacterium_g23 2;Sporobacter 9;JN713389_g 1;Pseudoflavonifractor 12;Pseudoflavonifractor 7;JN713389_g 2;Oscillibacter 17;Sporobacter 5;Sporobacter 1;Pseudoflavonifractor 20;Oscillibacter 12;Caproiciproducens 6;Butyricicoccus 3;EF602946_g 1;Subdoligranulum 1;JN713389_g 3;Sporobacter 11;Sporobacter 13;JN713389_g 6;Caproiciproducens 1;Pseudoflavonifractor 19;Subdoligranulum 5;JN713389_g 8;Sporobacter 19;Oscillibacter 14;EF400272_g 1;Pseudoflavonifractor 9;Oscillibacter 11;Pseudoflavonifractor 6;AB009176_g 25;Eubacterium_g23 1;Oscillibacter 27;Pseudoflavonifractor 1;Eubacterium_g23 7
4	Christensenellaceae	Bacteroidaceae_driven	-1.597067451681822	GSEA_bacteria	GU302849_g 1;AB239481_g 4;FJ848448_g 1;GU302849_g 4;AB239481_g 10;AY442821_g 2;AB239481_g 1;HQ716403_g 1;HM124260_g 6;HQ716403_g 3;GQ422712_g 1;HM124260_g 2;HQ716403_g 2;HM124244_g 1;HM124260_g 8;HM124260_g 1;HM124151_g 2;AB239481_g 2;GU302849_g 3;HM124260_g 4;AB239481_g 8;AB239481_g 3;AB239481_g 7
5	Christensenellaceae	Lachnospiraceae-driven	-1.6820263435795133	GSEA_bacteria	HQ716403_g 1;HQ716403_g 3;AY442821_g 1;GU302849_g 1;FJ848448_g 1;AB239481_g 6;GQ422712_g 1;HQ716403_g 2;GU302849_g 3;EF401862_g 2;Christensenella 2;AY442821_g 2;HM124244_g 1;HM124260_g 3;AB239481_g 10;EF401862_g 1;AB239481_g 4;AB239481_g 7;AB239481_g 8
6	Ruminococcaceae	Lachnospiraceae-driven	-1.3200556256734477	GSEA_bacteria	Pseudoflavonifractor 4;Caproiciproducens 5;Oscillibacter 4;Oscillibacter 3;Oscillibacter 6;Pseudoflavonifractor 1;Pseudoflavonifractor 3;Oscillibacter 15;EF400272_g 1;Sporobacter 4;EF404788_g 2;Sporobacter 2;Eubacterium_g23 8;Pseudoflavonifractor 6;Anaerofilum 1;Caproiciproducens 6;GQ896819_g 1;AB009176_g 1;AB009176_g 22;Eubacterium_g23 1;AB009176_g 16;Oscillibacter 10;Oscillibacter 22;Caproiciproducens 9;Oscillibacter 7;JN713389_g 1;JN713389_g 5;Sporobacter 8;Pseudoflavonifractor 20;Sporobacter 12;AB009176_g 19;Oscillibacter 19;Butyricicoccus 5;Oscillibacter 2;Pseudoflavonifractor 11;EF602946_g 2;Eubacterium_g8 1;Sporobacter 3;Subdoligranulum 5;Sporobacter 10;Pseudoflavonifractor 13;AB009176_g 8;Oscillibacter 12;EF602946_g 1;EF400272_g 2;Oscillibacter 5;AB009176_g 20;Caproiciproducens 3;Sporobacter 7;Sporobacter 17;Pseudoflavonifractor 5;Sporobacter 9;AB009176_g 2;Pseudoflavonifractor 19;Faecalibacterium 5
7	Christensenellaceae	Prevotella-driven_High_BMI	-1.4530109061684775	GSEA_bacteria	AB239481_g 8;HQ716403_g 3;AB239481_g 1;HM124244_g 1;AB239481_g 4;GU302849_g 3;HM124260_g 4;AB239481_g 2;AB239481_g 3;AY442821_g 1;HM124260_g 8;FJ848448_g 1;HM124151_g 2;HM124260_g 2;AB239481_g 10;GU302849_g 4;AB239481_g 6;HM124260_g 6;GQ422712_g 1;HM124260_g 1
8	Ruminococcaceae	Prevotella-driven_High_BMI	-1.4345213071829752	GSEA_bacteria	Oscillibacter 4;Subdoligranulum 1;Hydrogenoanaerobacterium 1;Pseudoflavonifractor 1;Oscillibacter 7;Oscillibacter 1;Oscillibacter 18;Pseudoflavonifractor 8;Sporobacter 2;Oscillibacter 9;Oscillibacter 8;Pseudoflavonifractor 20;Sporobacter 4;Sporobacter 27;Faecalibacterium 1;Sporobacter 9;AB009176_g 25;AB185816_g 1;Sporobacter 14;Oscillibacter 12;Pseudoflavonifractor 9;Subdoligranulum 3;Ruminococcus 6;Sporobacter 8;AB009176_g 22;Sporobacter 3;Sporobacter 19;AB009176_g 1;Pseudoflavonifractor 3;AB009176_g 19;JN713389_g 5;Caproiciproducens 5;Caproiciproducens 4;AB009176_g 20;AB009176_g 2;Oscillibacter 15;Oscillibacter 3;EF602946_g 1;GQ896819_g 1;Sporobacter 6;Caproiciproducens 9;Sporobacter 7;Subdoligranulum 2;AB009176_g 16;Eubacterium_g8 1;Oscillibacter 10;Sporobacter 5;Faecalibacterium 3;Sporobacter 1;Sporobacter 20;Caproiciproducens 3;Butyricicoccus 1;Sporobacter 11;Oscillibacter 6;Pseudoflavonifractor 4;Eubacterium_g23 7;Pseudoflavonifractor 15;Oscillibacter 11;Butyricicoccus 3;Butyricicoccus 5;Anaerofilum 1;JN713389_g 16;Sporobacter 17;Eubacterium_g23 3
9	Bacteroidaceae	Prevotella-driven_High_BMI	-1.2900542847534504	GSEA_bacteria	Bacteroides 11;Bacteroides 1;Bacteroides 13;Bacteroides 4;Bacteroides 2;Bacteroides 8;Bacteroides 16;Bacteroides 3;Bacteroides 12;Bacteroides 5;Bacteroides 18;Bacteroides 6
10	Lachnospiraceae	Ruminococcaceae_&_Christensenellaceae_driven_Low_BMI	-2.2007568761322522	GSEA_bacteria	Blautia 1;Dorea 2;Blautia 2;Clostridium_g23 1;Agathobacter 1;Roseburia 1;Eubacterium_g5 1;Sellimonas 1;Lachnospiraceae 7;Ruminococcus_g4 1;Clostridium_g7 2;Blautia 19;Clostridium_g24 4;AY305316_g 1;Eubacterium_g5 2;Dorea 3;EU457907_g 1;Ruminococcus_g4 2;Clostridium_g24 3;Eubacterium_g21 1;Blautia 8;Lachnospira 1;Clostridium_g24 5;Clostridium_g24 1;Blautia 5;LLKB_g 1;Coprococcus_g2 1;Lachnospiraceae 16;EF402988_g 1;Anaerostipes 1;LLKB_g 2;Clostridium_g24 2;DQ057459_g 1;Dorea 1;HM123979_g 1;Lachnospiraceae 20;Eisenbergiella 1;Eubacterium_g5 3;Blautia 7;Fusicatenibacter 1;Agathobacter 2;Clostridium_g8 1;Anaerostipes 2;AJ518873_g 1;Eisenbergiella 2;AJ576336_g 1;Eubacterium_g4 1;Lachnospira 4;Eubacterium_g4 3;Roseburia 2;AY305316_g 3;AY305316_g 2;Blautia 3
11	Bacteroidaceae	Ruminococcaceae_&_Christensenellaceae_driven_Low_BMI	-1.5505712257581015	GSEA_bacteria	Bacteroides 2;Bacteroides 4;Bacteroides 16;Bacteroides 17;Bacteroides 1;Bacteroides 9;Bacteroides 18;Bacteroides 34;Bacteroides 11;Bacteroides 3;Bacteroides 20;Bacteroides 12;Bacteroides 7;Bacteroides 15;Bacteroides 21
