	Donor	labels_RNA
0	Covid HH001	RNAseq C 4
1	Covid HH008	RNAseq C 4
2	Covid HH011	RNAseq C 5
3	Covid HH021	RNAseq C 5
4	Covid HH022	RNAseq C 2
5	Covid HH023	RNAseq C 2
6	Covid HH031	RNAseq C 5
7	Covid HH032	RNAseq C 4
8	Covid HH039	RNAseq C 1
9	Covid HH044	RNAseq C 1
10	Covid HH053	RNAseq C 3
11	Covid HH076	RNAseq C 4
12	Covid HH077	RNAseq C 3
13	Covid HH078 1	RNAseq C 4
14	Covid HH078 2	RNAseq C 2
15	Covid HH080	RNAseq C 5
16	Covid HH081	RNAseq C 4
17	Covid HH094	RNAseq C 1
18	Covid HH101	RNAseq C 3
19	Covid HH116	RNAseq C 2
20	Covid HH135	RNAseq C 3
21	Covid HH136	RNAseq C 2
22	Covid HHHA021	RNAseq C 1
23	Covid HHHA022	RNAseq C 3
24	Covid PT001	RNAseq C 4
25	Covid PT002	RNAseq C 5
26	Covid PT003	RNAseq C 5
27	Covid PT004	RNAseq C 4
28	Covid PT006	RNAseq C 3
29	Covid PT008	RNAseq C 5
30	Covid PT011	RNAseq C 5
31	Covid PT013	RNAseq C 2
32	Covid PT014	RNAseq C 2
33	Covid PT015	RNAseq C 4
34	Covid PT016	RNAseq C 3
35	Covid PT017	RNAseq C 4
36	Covid PT018	RNAseq C 5
37	Covid PT019	RNAseq C 5
38	Covid PT020	RNAseq C 4
39	Covid PT021	RNAseq C 4
40	Covid PT022	RNAseq C 4
41	Covid PT023	RNAseq C 2
42	Covid PT025	RNAseq C 5
43	Covid PT026	RNAseq C 4
44	Covid PT028	RNAseq C 5
45	Covid PT029	RNAseq C 5
46	Covid PT030	RNAseq C 5
47	Covid PT031	RNAseq C 2
48	Covid PT032	RNAseq C 2
49	Covid PT033	RNAseq C 3
50	Covid PT034	RNAseq C 5
51	Covid PT035	RNAseq C 5
52	Covid PT036	RNAseq C 5
53	Covid PT037	RNAseq C 4
54	Covid PT038	RNAseq C 4
55	Covid PT039	RNAseq C 4
56	Covid PT040	RNAseq C 4
57	Covid PT042	RNAseq C 4
58	Covid PT043	RNAseq C 4
59	Covid PT044	RNAseq C 5
60	Covid PT046	RNAseq C 4
61	Covid PT047	RNAseq C 2
62	Covid PT050	RNAseq C 4
63	Covid PT051	RNAseq C 4
64	Covid PT053	RNAseq C 2
65	Covid PT054	RNAseq C 2
66	Covid PT055	RNAseq C 2
67	Covid PT056	RNAseq C 4
68	Covid PT057	RNAseq C 4
69	Covid PT058	RNAseq C 4
70	Covid PT059	RNAseq C 4
71	Covid PT060	RNAseq C 2
72	Covid PT061	RNAseq C 2
73	Covid PT062	RNAseq C 4
74	Covid PT063	RNAseq C 5
75	Covid PT064	RNAseq C 4
76	Covid PT065	RNAseq C 2
77	Covid PT066	RNAseq C 2
78	Covid PT067	RNAseq C 1
79	Covid PT068	RNAseq C 3
80	Covid PT071	RNAseq C 4
81	Covid PT072	RNAseq C 5
82	Covid PT073	RNAseq C 2
83	Covid PT074	RNAseq C 4
84	Covid PT075	RNAseq C 4
85	Covid PT076	RNAseq C 3
86	Covid PT077	RNAseq C 4
87	Covid PT078	RNAseq C 4
88	Covid PT079	RNAseq C 4
89	Covid PT080	RNAseq C 4
90	Covid PT081	RNAseq C 2
91	Covid PT082	RNAseq C 3
92	Covid PT083	RNAseq C 5
93	Covid PT084	RNAseq C 4
94	Covid PT085	RNAseq C 2
95	Covid PT086	RNAseq C 5
96	Covid PT087	RNAseq C 5
97	Covid PT088	RNAseq C 4
98	Covid PT091	RNAseq C 2
99	Covid PT092	RNAseq C 4
100	Covid PT093	RNAseq C 5
101	Covid PT099	RNAseq C 5
102	Covid PT100	RNAseq C 4
103	Covid PT101	RNAseq C 3
104	Covid PT102	RNAseq C 3
105	Covid PT103	RNAseq C 4
106	Covid PT104	RNAseq C 4
107	Covid PT105	RNAseq C 3
108	Covid PT111	RNAseq C 4
109	Covid PT112	RNAseq C 1
110	Covid PT114	RNAseq C 4
111	Covid PT115	RNAseq C 2
112	Covid PT116	RNAseq C 2
113	Covid PT117	RNAseq C 4
114	Covid PT118	RNAseq C 4
115	Covid PT119	RNAseq C 4
116	Covid PT120	RNAseq C 2
117	Covid PT121	RNAseq C 3
118	Covid PT123	RNAseq C 1
119	Covid PT124	RNAseq C 3
120	Covid PT125	RNAseq C 5
121	Covid PT126	RNAseq C 2
122	Covid PT130	RNAseq C 4
123	Covid PT131	RNAseq C 2
124	Covid PT132	RNAseq C 2
125	Covid PT135	RNAseq C 4
126	Covid PT136	RNAseq C 2
127	Covid PT137	RNAseq C 5
128	Covid PT139	RNAseq C 4
129	Covid PT140	RNAseq C 3
130	Covid PT141	RNAseq C 3
131	Covid PT142	RNAseq C 3
132	Covid PT143	RNAseq C 2
133	Covid PT144	RNAseq C 2
134	Covid PT145	RNAseq C 4
135	Covid PT147	RNAseq C 5
136	Covid PT148	RNAseq C 2
137	Covid PT159	RNAseq C 4
138	Covid PT161	RNAseq C 4
139	Covid PT166	RNAseq C 5
140	Covid PT168	RNAseq C 2
141	Covid PT174	RNAseq C 2
142	ERC CO003	RNAseq C 5
143	ERC CO007	RNAseq C 5
144	ERC CO008	RNAseq C 5
145	ERC CO009	RNAseq C 4
146	ERC CO010	RNAseq C 4
147	ERC CO011	RNAseq C 2
148	ERC CO012	RNAseq C 5
149	ERC CO013	RNAseq C 5
150	ERC CO014	RNAseq C 5
151	ERC CO015	RNAseq C 5
152	ERC CO017	RNAseq C 5
153	ERC CO018	RNAseq C 5
154	ERC CO019	RNAseq C 5
155	ERC CO020	RNAseq C 4
156	ERC CO021	RNAseq C 5
157	ERC CO022	RNAseq C 3
158	ERC CO023	RNAseq C 2
159	ERC CO024	RNAseq C 5
160	ERC CO027	RNAseq C 3
161	ERC CO028	RNAseq C 4
162	ERC CO029	RNAseq C 4
163	ERC CO030	RNAseq C 5
164	ERC CO031	RNAseq C 5
165	ERC CO032	RNAseq C 5
166	ERC CO033	RNAseq C 4
167	ERC CO035	RNAseq C 1
168	ERC CO036	RNAseq C 5
169	ERC CO037	RNAseq C 5
170	ERC CO038	RNAseq C 5
171	ERC CO039	RNAseq C 5
172	ERC CO040	RNAseq C 4
173	ERC CO042	RNAseq C 4
174	ERC CO044	RNAseq C 3
175	ERC CO048	RNAseq C 2
176	ERC CO049	RNAseq C 4
177	ERC CO050	RNAseq C 5
178	ERC CO052	RNAseq C 2
179	ERC CO056	RNAseq C 4
180	ERC CO060	RNAseq C 2
181	ERC CO061	RNAseq C 2
182	ERC CO062	RNAseq C 2
183	ERC CO063	RNAseq C 4
184	ERC CO064	RNAseq C 1
185	ERC CO066	RNAseq C 5
186	ERC CO068	RNAseq C 4
187	ERC CO069	RNAseq C 1
188	ERC CO070	RNAseq C 4
189	ERC CO071	RNAseq C 5
190	ERC CO072	RNAseq C 4
191	ERC CO073	RNAseq C 4
192	ERC CO076	RNAseq C 3
193	ERC CO077	RNAseq C 5
194	ERC CO079	RNAseq C 4
195	ERC CO080	RNAseq C 2
196	ERC CO081	RNAseq C 1
197	ERC CO082	RNAseq C 2
198	ERC CO083	RNAseq C 5
199	ERC CO084	RNAseq C 2
200	ERC CO086	RNAseq C 2
201	ERC CO087	RNAseq C 4
202	ERC CO088	RNAseq C 2
203	ERC CO089	RNAseq C 5
204	ERC CO090	RNAseq C 3
205	ERC CO092	RNAseq C 1
206	ERC CO096	RNAseq C 5
207	ERC CO097	RNAseq C 4
208	ERC CO098	RNAseq C 4
209	ERC CO100	RNAseq C 5
210	ERC CO101	RNAseq C 1
211	ERC CO102	RNAseq C 4
212	ERC CO103	RNAseq C 4
213	ERC CO104	RNAseq C 4
214	ERC CO105	RNAseq C 5
215	ERC CO106	RNAseq C 2
216	ERC CO110	RNAseq C 4
217	ERC CO111	RNAseq C 5
218	ERC CO112	RNAseq C 5
219	ERC CO113	RNAseq C 4
220	ERC CO114	RNAseq C 4
221	ERC CO115	RNAseq C 3
222	ERC CO116	RNAseq C 4
223	ERC CO120	RNAseq C 3
224	ERC CO122	RNAseq C 5
225	ERC CO123	RNAseq C 2
226	ERC CO124	RNAseq C 4
227	ERC CO128	RNAseq C 5
228	ERC CO129	RNAseq C 2
229	ERC CO130	RNAseq C 5
230	ERC CO131	RNAseq C 2
231	ERC CO132	RNAseq C 5
232	ERC CO133	RNAseq C 4
233	ERC CO134	RNAseq C 5
234	ERC CO135	RNAseq C 4
235	ERC CO136	RNAseq C 2
236	ERC CO137	RNAseq C 4
237	ERC CO139	RNAseq C 5
238	ERC CO140	RNAseq C 1
239	ERC CO142	RNAseq C 5
240	ERC CO143	RNAseq C 4
241	ERC CO144	RNAseq C 4
242	ERC CO145	RNAseq C 5
243	ERC CO148	RNAseq C 4
244	ERC CO149	RNAseq C 2
245	ERC CO150	RNAseq C 4
246	ERC CO151	RNAseq C 4
247	ERC CO153	RNAseq C 4
248	ERC CO154	RNAseq C 5
249	ERC CO155	RNAseq C 5
250	ERC CO156	RNAseq C 4
251	ERC CO160	RNAseq C 5
252	ERC CO161	RNAseq C 5
253	ERC CO166	RNAseq C 1
254	ERC CO167	RNAseq C 5
255	ERC CO168	RNAseq C 4
256	ERC CO170	RNAseq C 3
257	ERC CO171	RNAseq C 1
258	ERC CO172	RNAseq C 5
259	ERC CO173	RNAseq C 4
260	ERC CO174	RNAseq C 4
261	ERC CO175	RNAseq C 5
262	ERC CO176	RNAseq C 4
263	ERC CO179	RNAseq C 5
264	ERC CO182	RNAseq C 1
265	ERC CO185	RNAseq C 4
266	ERC CO186	RNAseq C 4
267	ERC CO193	RNAseq C 3
268	ERC CO197	RNAseq C 2
269	ERC CO200	RNAseq C 2
270	ERC CO204	RNAseq C 4
271	ERC CO211	RNAseq C 4
272	ERC CO212	RNAseq C 4
273	ERC CO213	RNAseq C 5
274	ERC CO214	RNAseq C 4
275	ERC CO215	RNAseq C 4
276	ERC CO217	RNAseq C 1
277	ERC CO218	RNAseq C 4
278	ERC CO219	RNAseq C 3
279	ERC CO220	RNAseq C 5
280	ERC CO221	RNAseq C 4
281	ERC CO222	RNAseq C 5
282	ERC CO223	RNAseq C 5
283	ERC CO224	RNAseq C 3
284	ERC CO225	RNAseq C 4
285	ERC CO227	RNAseq C 5
286	ERC CO228	RNAseq C 5
287	ERC CO229	RNAseq C 5
288	ERC CO230	RNAseq C 2
289	ERC CO233	RNAseq C 5
290	ERC CO235	RNAseq C 4
291	ERC CO243	RNAseq C 5
292	ERC CO244	RNAseq C 4
293	ERC CO246	RNAseq C 4
294	ERC CO247	RNAseq C 4
295	ERC CO249	RNAseq C 5
296	ERC CO250	RNAseq C 3
297	ERC CO252	RNAseq C 5
298	ERC CO254	RNAseq C 1
299	ERC CO255	RNAseq C 5
300	ERC CO256	RNAseq C 5
301	ERC CO258	RNAseq C 3
302	ERC CO260	RNAseq C 5
303	ERC CO261	RNAseq C 4
304	ERC CO262	RNAseq C 5
305	ERC CO263	RNAseq C 5
306	ERC CO265	RNAseq C 5
307	ERC CO267	RNAseq C 1
308	ERC CO268	RNAseq C 3
309	ERC CO305	RNAseq C 3
310	ERC CO307	RNAseq C 3
311	ERC CO310	RNAseq C 4
312	ERC CO315	RNAseq C 5
313	ERC CO316	RNAseq C 2
314	ERC CO317	RNAseq C 3
315	ERC CO320	RNAseq C 3
316	ERC CO322	RNAseq C 4
